,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14
Industry & Minerals,"1,016",815,356,446,566,709,433,320,395,377
Transport,"1,194","1,401","1,426","1,415","1,450","1,737","2,300","1,405","1,477","1,189"
Ecology & Environment,-   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Tourism,45,35,47,99,78,61,29,9,35,15
Civil Supplies,0,0,1,1,1,1,0,1,1,1
Grants in Aid (Compensation & Assignments to Local Bodies and PRIs),516,306,377,366,274,125,652,375,994,376
Others,"31,865","33,070","20,283","19,312","18,516","17,625","16,626","11,045","11,704","9,682"
Bihar  (Total),"183,976","159,220","139,493","126,017","124,897","102,624","94,765","83,616","72,570","62,477"
Police,"9,236","8,265","7,744","7,318","7,047","5,737","5,344","4,862","4,620","3,805"
Public Works,637,629,389,388,558,494,431,452,394,386
"Education, Sports, Art and Culture","41,495","33,770","26,611","26,156","27,024","23,315","19,152","18,605","16,267","14,344"
Health & Family Welfare,"9,383","10,645","8,504","6,811","6,172","5,617","4,622","3,481","3,288","2,113"
Water Supply and Sanitation,"2,552",942,"1,741","2,072","5,387","2,338","1,202",610,604,696
Housing & Urban Development,"17,576","12,370","9,721","8,249","8,534","3,338","6,261","3,084","3,035","2,271"
Social Welfare & Nutrition,"11,652","9,494","9,079","7,613","6,614","6,216","5,879","5,392","5,508","3,924"
Welfare of SCs/STs/OBCs/Minorities,"2,865","4,226",830,"2,419","2,164",951,"2,227","4,056","2,305","2,074"
Agriculture & Allied Activities,"4,563","3,134","3,282","3,995","3,636","3,626","2,287","3,515","3,431","3,193"
Rural Development,"13,311","15,139","12,088","11,607","11,356","11,212","8,352","4,921","4,070","4,060"
Irrigation & Flood Control,"1,294","1,101","1,631",871,"1,360","1,301","1,048","1,151","1,020","1,039"
Energy,"12,750","8,996","7,499","5,975","6,923","4,305","7,698","6,151","3,773","3,236"
Industry & Minerals,"1,314","1,048",419,676,840,756,888,"1,201",561,580
Transport,"4,719","3,630","3,523","2,488","2,795","1,402","1,787","1,712",996,"1,381"
Ecology & Environment,2,4,10,0, -   , -   , -   , -   , -   , -   
Tourism,171,41,15,25,29,64,86,28,17,14
Civil Supplies,815,873,720,694,738,586,"1,060",795,441,396
Grants in Aid (Compensation & Assignments to Local Bodies and PRIs),0,0,2,2,4,4,4,4,4,4
Others,"49,643","44,913","45,685","38,658","33,715","31,364","26,437","23,594","22,237","18,962"
Chhattisgarh  (Total),"85,285","75,010","70,033","73,477","64,411","56,230","48,165","43,701","39,561","32,860"
Police,"4,554","4,266","3,910","4,127","3,545","3,069","2,625","2,417","2,185","1,967"
Public Works,481,499,480,491,468,360,319,274,261,247
"Education, Sports, Art and Culture","17,725","15,619","14,192","15,983","12,512","11,845","11,079","9,326","9,257","6,845"
Health & Family Welfare,"5,894","6,224","5,172","4,310","3,543","3,607","2,967","2,419","2,099","1,429"
Water Supply and Sanitation,403,280,340,616,745,"1,379","1,338",806,592,397
Housing & Urban Development,"3,887","1,880","1,844","1,996","3,716","4,520","2,766",607,964,"1,038"
Social Welfare & Nutrition,"2,641","2,787","2,528","2,683","1,989","2,161","2,071","1,958","1,843","3,371"
Welfare of SCs/STs/OBCs/Minorities,301,180,205,207,143,176,196,173,184,715
Agriculture & Allied Activities,"17,329","14,012","13,818","15,195","18,020","8,781","6,769","8,325","7,726","5,152"
Rural Development,"3,885","4,217","3,707","4,362","2,433","3,695","4,299","2,966","3,588","2,090"
Irrigation & Flood Control,548,553,546,584,567,534,525,490,452,416
Energy,"5,337","3,870","4,444","4,749","2,105","2,635","1,036","2,816",937,495
Industry & Minerals,988,673,561,536,528,856,758,489,625,467
Transport,"1,258","1,066","1,059","1,020","1,016",943,654,781,652,989
Ecology & Environment,-   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Tourism,46,46,22,22,6,19,23,17,46,40
Civil Supplies,-   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Grants in Aid (Compensation & Assignments to Local Bodies and PRIs),"1,143","1,113","1,125","1,120",895,"1,365","1,151",900,979,970
Others,"18,866","17,725","16,081","15,476","12,182","10,283","9,589","8,936","7,172","6,230"
Goa  (Total),"14,884","14,227","12,093","11,623","11,083","10,543","8,866","8,420","7,410","6,803"
Police,635,580,560,535,501,489,358,342,270,240
Public Works,116,128,109,107,112,117,89,93,87,78
"Education, Sports, Art and Culture","2,383","2,138","2,052","1,987","2,046","1,792","1,467","1,337","1,226","1,221"
Health & Family Welfare,"1,351","1,309","1,088",975,841,842,611,543,490,445
Water Supply and Sanitation,240,"1,022",397,379,298,377,288,329,275,245
Housing & Urban Development,146,109,121,174,110,223,99,93,79,72
Social Welfare & Nutrition,929,761,677,638,685,701,667,681,566,527
Welfare of SCs/STs/OBCs/Minorities,127,48,67,76,150,110,135,122,113,62
Agriculture & Allied Activities,447,432,403,334,331,320,293,304,258,257
Rural Development,212,304,268,153,131,147,143,133,76,94
Irrigation & Flood Control,144,131,144,130,150,168,136,121,101,91
Energy,"2,751","2,237","2,046","2,220","1,896","1,671","1,563","1,490","1,320","1,178"
Industry & Minerals,104,130,65,67,111,87,104,136,112,146
Transport,331,330,369,267,316,328,282,295,269,252
Ecology & Environment,4,-6,4,23,18,21,5,2,3,2
Tourism,62,38,58,76,65,81,78,146,56,45
Civil Supplies,12,14,9,10,8,8,6,6,6,4
Grants in Aid (Compensation & Assignments to Local Bodies and PRIs),-   , -   , -   , -   , -   , -   , -   , -   ,14, -   
Others,"4,889","4,523","3,655","3,473","3,313","3,062","2,541","2,244","2,091","1,843"
Gujarat (Total),"179,543","133,212","150,704","140,899","132,790","118,060","103,895","95,779","86,652","75,259"
Police,"5,893","5,144","5,080","4,746","4,842","4,428","3,494","3,160","2,928","2,630"
Public Works,412,347,306,307,323,327,274,279,227,268
"Education, Sports, Art and Culture","32,192",347,"26,075","24,642","24,073","21,528","18,560","17,976","16,421","14,487"
Health & Family Welfare,"11,479","12,805","10,261","9,216","7,927","6,945","6,242","5,229","4,398","3,456"
Water Supply and Sanitation,760,604,915,661,618,967,"1,458","1,017",245,191
Housing & Urban Development,"14,587","12,551","10,584","12,976","11,059","9,828","10,418","9,388","8,478","7,916"
Social Welfare & Nutrition,"8,031","6,545","6,648","4,976","3,604","3,387","3,176","3,427","3,118","2,952"
Welfare of SCs/STs/OBCs/Minorities,"4,917","4,056","3,419","3,998","3,977","3,511","3,249","2,782","2,360","2,090"
Agriculture & Allied Activities,"6,927","6,275","7,525","6,569","8,367","7,802","5,035","4,313","4,069","3,958"
Rural Development,"6,950","3,723","5,582","4,103","3,483","3,200","3,424","3,367","2,039","1,701"
Irrigation & Flood Control,"1,573","1,245","1,232","1,260","1,072","1,088","1,246",982,"1,037",981
Energy,"12,562","10,898","9,760","8,900","7,655","5,820","5,083","4,482","5,379","3,798"
Industry & Minerals,"4,421","5,092","5,959","4,983","4,539","3,085","2,234","1,966","1,504",865
Transport,"6,665","5,478","4,730","5,013","5,090","4,696","4,528","4,104","4,491","3,756"
Ecology & Environment,826,804,674,292,113,151,141,106,51,68
Tourism,161,76,96,109,75,84,92,86,25,18
Civil Supplies,"1,790","1,059","1,248",423,691,772,613,379,376,233
Grants in Aid (Compensation & Assignments to Local Bodies and PRIs),477,412,390,415,365,474,416,559,536,326
Others,"58,921","55,751","50,220","47,310","44,917","39,967","34,212","32,177","28,971","25,563"
Haryana (Total),"106,406","98,425","89,947","84,848","77,156","73,257","68,403","59,236","49,118","41,887"
Police,"5,569","5,065","4,619","4,424","3,876","3,576","3,214","2,736","2,625","2,032"
Public Works,202,282,207,175,183,165,207,224,262,171
"Education, Sports, Art and Culture","18,039","15,412","14,029","14,479","12,672","11,783","11,060","9,917","9,293","7,373"
Health & Family Welfare,"6,298","6,002","5,081","4,472","3,678","3,074","2,800","2,490","2,174","1,703"
Water Supply and Sanitation,"2,243","1,856","2,230","1,808","1,834","1,704","1,734","1,653","1,359","1,229"
Housing & Urban Development,"4,028","4,924","3,685","3,339","2,970","4,067","2,783","1,989","1,662","1,651"
Social Welfare & Nutrition,"10,391","10,031","8,991","7,784","6,893","5,870","5,043","4,236","3,657","2,493"
Welfare of SCs/STs/OBCs/Minorities,558,396,376,287,399,396,565,334,270,322
Agriculture & Allied Activities,"4,807","4,791","4,206","3,201","3,392","2,735","2,519","2,295","2,012","1,846"
Rural Development,"2,459","1,985","4,499","3,957","3,418","2,981","2,892","1,851","1,843","1,727"
Irrigation & Flood Control,"2,425","2,045","1,574","1,492","1,471","1,463","1,412","1,405","1,159","1,162"
Energy,"7,072","7,130","5,788","7,015","7,447","7,632","10,515","10,220","5,245","5,212"
Industry & Minerals,690,457,391,392,403,318,350,95,146,97
Transport,"3,072","2,936","2,442","3,079","2,791","2,902","2,820","2,595","2,567","2,380"
Ecology & Environment,7,7,9,12,5,6,7,6,6,5
Tourism,35,52,51,23,15,3,2,2,3,3
Civil Supplies,0,0,0,0,0,0,149,8,0,3
Grants in Aid (Compensation & Assignments to Local Bodies and PRIs),-   , -   , -   , -   ,222,391,424,293,145,136
Others,"38,510","35,054","31,768","28,910","25,487","24,194","19,907","16,886","14,689","12,343"
Himachal Pradesh (Total),"44,425","36,195","33,535","30,730","29,442","27,053","25,344","22,303","19,787","17,352"
Police,"1,525","1,208","1,168","1,143","1,093","1,049",970,744,747,673
Public Works,429,384,581,237,215,310,267,223,225,264
"Education, Sports, Art and Culture","8,646","6,708","6,344","6,137","5,871","5,699","4,945","4,132","4,144","3,617"
Health & Family Welfare,"3,161","2,577","2,195","2,075","1,892","1,743","1,501","1,300","1,237","1,001"
Water Supply and Sanitation,"1,325","1,211","1,096",942,"1,141",983,"1,137",882,818,754
Housing & Urban Development,"1,023",930,865,483,576,356,640,385,244,322
Social Welfare & Nutrition,"1,934","1,593","1,499","1,271","1,126",948,804,690,630,549
Welfare of SCs/STs/OBCs/Minorities,137,156,121,54,52,56,63,57,55,56
Agriculture & Allied Activities,"2,949","2,569","2,388","2,157","2,185","1,800","1,678","1,554","1,527","1,422"
Rural Development,"2,000","1,286","1,398","1,199","1,177",922,"1,179","1,005",896,437
Irrigation & Flood Control,463,395,396,426,421,450,462,338,360,303
Energy,"1,105","1,650",530,411,584,373,822,973,408,27
Industry & Minerals,264,195,208,147,115,106,122,71,77,65
Transport,"2,341","2,125","2,102","1,909","1,830","1,814","1,546","1,479","1,353","1,257"
Ecology & Environment,1,2,2,1,1,2,0,0,1,0
Tourism,27,114,135,20,116,140,115,45,34,30
Civil Supplies,37,14,12,12,12,12,14,11,17,8
Grants in Aid (Compensation & Assignments to Local Bodies and PRIs),6,8,9,10,9,10,10,10,9,9
Others,"17,052","13,071","12,484","12,094","11,026","10,281","9,069","8,403","7,005","6,559"
Jharkhand  (Total),"66,682","62,778","59,264","56,457","50,631","50,952","45,089","36,553","31,795","23,472"
Police,"5,933","5,278","4,939","4,901","4,376","3,956","3,052","2,871","2,600","2,510"
Public Works,136,135,117,133,134,143,109,111,94,86
"Education, Sports, Art and Culture","11,654","11,174","10,052","9,747","7,844","7,966","7,978","6,542","5,745","3,922"
Health & Family Welfare,"4,661","4,334","3,484","2,791","3,123","2,549","1,968","1,833","1,358",977
Water Supply and Sanitation,318,730,857,655,"1,380","1,762","1,475","1,000",823,295
Housing & Urban Development,"1,964","2,443","2,878","2,530","1,920","2,922","2,629","1,390",917,416
Social Welfare & Nutrition,"5,845","4,488","3,800","3,947","2,637","2,552","2,452","2,150","1,742","1,487"
Welfare of SCs/STs/OBCs/Minorities,"2,448","1,075",912,"1,205","1,146","1,085","1,312","1,169",860,625
Agriculture & Allied Activities,"2,758","3,534","2,084","3,006","1,790","2,017","2,206","1,475","1,090",975
Rural Development,"6,239","6,424","8,238","7,873","7,432","6,045","7,247","4,173","3,501","1,430"
Irrigation & Flood Control,378,373,367,386,399,398,323,320,330,304
Energy,"3,531","3,808","2,022","3,000","2,690","4,530","1,755","2,204","2,344","1,521"
Industry & Minerals,310,330,246,324,345,265,317,321,237,186
Transport,549,443,749,415,387,531,446,348,836,252
Ecology & Environment,-   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Tourism,65,77,55,71,47,45,37,32,7,7
Civil Supplies,"1,438","1,399","1,358","1,127","1,020",911,"1,113",774,839,571
Grants in Aid (Compensation & Assignments to Local Bodies and PRIs),-   , -   , -   ,1, -   , -   , -   , -   , -   , -   
Others,"18,458","16,734","17,105","14,346","13,961","13,276","10,671","9,838","8,472","7,909"
Karnataka  (Total),"215,584","209,428","176,054","174,257","164,300","142,482","131,921","117,029","103,614","89,190"
Police,"7,956","6,651","5,940","5,527","5,175","4,222","3,712","3,518","3,362","3,018"
Public Works,935,780,779,797,843,763,764,801,774,755
"Education, Sports, Art and Culture","31,263","29,140","24,316","26,518","23,424","21,307","20,084","18,724","18,063","16,166"
Health & Family Welfare,"11,309","12,770","9,768","8,339","8,369","6,985","6,139","5,010","5,058","4,093"
Water Supply and Sanitation,"5,356","4,822","1,496","1,736","3,075","4,756","4,324","2,734","1,403",525
Housing & Urban Development,"7,147","6,385","4,292","5,397","5,536","6,956","6,165","4,640","2,541","2,145"
Social Welfare & Nutrition,"12,878","12,515","12,189","11,842","16,557","7,544","7,172","6,709","5,857","4,845"
Welfare of SCs/STs/OBCs/Minorities,"8,515","7,574","6,293","7,167","8,488","8,546","6,780","5,562","5,038","3,720"
Agriculture & Allied Activities,"16,214","19,918","16,687","21,669","20,305","14,521","11,976","11,149","10,563","12,590"
Rural Development,"11,234","8,121","9,144","7,277","7,001","5,209","5,547","5,222","4,988","2,283"
Irrigation & Flood Control,"1,891","1,979","2,183","2,103","2,059","1,845","1,589","1,258",933,732
Energy,"14,103","17,445","14,277","12,264","10,061","9,403","9,237","9,170","6,746","5,996"
Industry & Minerals,"1,580","1,682","1,736","1,473","1,486","1,254","1,314","1,219","1,020",882
Transport,"6,347","4,605","4,545","3,567","3,696","4,970","4,844","3,552","3,232","2,560"
Ecology & Environment,11,9,12,10,4,16,17,18,13,9
Tourism,195,127,68,98,149,201,152,150,121,109
Civil Supplies,37,32,25,23,22,62,19,14,12,28
Grants in Aid (Compensation & Assignments to Local Bodies and PRIs),"5,662","6,616","5,681","6,425","5,425","6,490","5,686","6,076","6,011","5,020"
Others,"72,950","68,258","56,625","52,027","42,623","37,433","36,400","31,503","27,879","23,713"
Kerala  (Total),"141,951","146,180","123,446","104,720","110,316","99,948","91,096","78,689","71,746","60,486"
Police,"4,242","4,962","3,246","3,521","3,556","3,490","3,105","2,566","2,340","2,070"
Public Works,164,211,133,157,134,146,166,161,139,138
"Education, Sports, Art and Culture","22,038","24,770","16,476","18,460","18,968","18,515","17,061","14,120","12,790","11,710"
Health & Family Welfare,"9,851","11,630","8,487","7,295","6,847","6,174","5,731","4,552","4,035","3,508"
Water Supply and Sanitation,245,383,406,334,414,698,931,973,675,581
Housing & Urban Development,"1,614","1,015","1,596","1,133","1,165",40,950,362,375,328
Social Welfare & Nutrition,"12,941","8,662","13,573","3,759","3,664","6,126","5,234","4,311","3,023","2,208"
Welfare of SCs/STs/OBCs/Minorities,"2,384","2,592","2,657","1,943","2,555","2,804","2,576","2,120","1,773","1,640"
Agriculture & Allied Activities,"5,531","8,539","10,379","4,791","6,193","5,528","6,088","4,799","4,322","3,893"
Rural Development,"1,957","1,553","2,290","1,242","1,622","1,445","1,280","2,523","2,305",641
Irrigation & Flood Control,580,761,510,516,577,596,508,489,392,452
Energy,386,381,910,17,23,115,85,75,105,226
Industry & Minerals,470,512,580,351,608,612,508,345,448,349
Transport,"2,478","2,942","3,219","1,544","2,483","2,255","1,285","2,157","1,937","1,750"
Ecology & Environment,14,13,36,7,26,23,21,21,12,22
Tourism,201,163,185,156,176,192,170,138,145,144
Civil Supplies,57,73,51,35,42,110,30,27,20,16
Grants in Aid (Compensation & Assignments to Local Bodies and PRIs),"9,563","9,660","9,492","6,064","8,899","7,197","5,481","3,903","6,398","4,971"
Others,"67,233","67,359","49,219","53,396","52,365","43,881","39,886","35,048","30,513","25,841"
Madhya Pradesh  (Total),"199,895","181,061","164,733","150,444","142,149","130,246","119,537","99,771","82,373","69,870"
Police,"7,197","6,339","6,305","6,257","6,014","5,154","4,503","4,153","3,619","3,290"
Public Works,242,272,360,401,446,449,429,399,364,363
"Education, Sports, Art and Culture","32,669","29,504","28,810","28,780","26,174","23,653","21,144","17,055","16,222","13,697"
Health & Family Welfare,"12,412","11,706","8,948","8,484","6,521","6,409","5,376","5,228","4,521","3,284"
Water Supply and Sanitation,"1,202","1,283","1,083","1,157","1,465","3,083","3,017","1,405",916,905
Housing & Urban Development,"16,336","10,831","11,526","10,243","12,012","14,235","8,165","4,869","2,361","1,936"
Social Welfare & Nutrition,"9,750","8,605","8,060","7,483","6,026","5,527","5,236","5,414","3,156","3,876"
Welfare of SCs/STs/OBCs/Minorities,"5,144","4,838","3,918","3,930","3,257","3,357","3,095","2,968","2,214","2,416"
Agriculture & Allied Activities,"13,204","14,879","12,373","13,227","15,603","11,928","10,311","7,476","8,291","6,214"
Rural Development,"6,603","8,216","10,350","8,266","7,374","6,821","8,818","6,108","6,617","3,406"
Irrigation & Flood Control,"1,595",979,999,"1,122","1,061",645,688,630,845,783
Energy,"27,153","23,447","14,974","14,077","10,071","9,753","12,476","7,219","5,106","3,340"
Industry & Minerals,"4,241","3,483","2,087","2,347","2,104","1,960","2,847","2,477","1,286","1,469"
Transport,"1,803","1,425","1,093","1,167","1,027","1,102","1,245","1,209","1,288","1,412"
Ecology & Environment,-   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Tourism,143,104,51,96,104,156,141,92,66,72
Civil Supplies,-   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Grants in Aid (Compensation & Assignments to Local Bodies and PRIs),"7,878","7,125","5,900","5,900","7,672","7,065","6,807","5,891","4,225","4,539"
Others,"52,326","48,023","47,895","37,506","35,218","28,949","25,241","27,177","21,273","18,866"
Maharashtra  (Total),"407,614","349,686","310,610","300,305","267,022","241,571","213,229","190,374","177,553","154,902"
Police,"19,515","17,134","15,156","15,868","12,038","11,233","11,191","9,807","8,700","8,074"
Public Works,"1,687","1,293","1,041","1,385","1,137","1,086","1,121","1,137","1,213","1,215"
"Education, Sports, Art and Culture","81,211","68,554","62,209","62,357","50,922","48,476","45,358","42,867","39,696","38,238"
Health & Family Welfare,"18,663","19,455","16,102","13,576","11,969","11,605","10,121","9,357","8,497","6,816"
Water Supply and Sanitation,"5,167","2,885","2,193","2,177","3,818","3,090","2,993","2,482","1,809","1,038"
Housing & Urban Development,"17,085","13,800","10,706","10,027","10,560","9,124","11,875","7,091","5,620","5,913"
Social Welfare & Nutrition,"12,393","11,732","10,372","9,038","8,069","6,158","6,647","6,918","5,867","5,408"
Welfare of SCs/STs/OBCs/Minorities,"18,746","16,464","10,739","13,655","14,234","12,439","9,187","8,237","8,097","7,951"
Agriculture & Allied Activities,"26,826","17,698","31,888","20,666","20,020","26,130","13,245","9,660","8,567","7,821"
Rural Development,"14,352","9,103","9,847","8,240","6,997","6,589","7,018","5,609","6,172","3,130"
Irrigation & Flood Control,"2,312","2,220","2,043","2,170","1,898","2,159","2,544","2,758","2,487","2,742"
Energy,"13,885","12,187","9,865","11,221","11,135","8,946","9,611","9,404","10,891","5,726"
Industry & Minerals,"6,879","5,874","2,697","3,673","3,580","2,439","3,102","3,279","2,894","2,549"
Transport,"12,092","8,689","5,160","7,185","6,338","5,461","6,106","5,541","5,556","4,729"
Ecology & Environment,705,244,186,165,207,145,152,92,72,78
Tourism,"1,037",839,315,271,457,293,602,412,290,431
Civil Supplies,-   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Grants in Aid (Compensation & Assignments to Local Bodies and PRIs),"32,874","25,963","20,396","21,264","20,107","15,793","7,495","5,635","2,428","2,053"
Others,"122,187","115,553","99,695","97,367","83,535","70,406","64,860","60,085","58,697","50,990"
Manipur  (Total),"14,159","12,642","12,428","10,239","9,749","9,274","8,185","7,383","7,267","5,719"
Police,"2,120","2,049","1,872","1,561","1,370","1,221","1,184","1,029",967,883
Public Works,23,20,27,23,36,57,33,32,35,28
"Education, Sports, Art and Culture","2,151","1,752","1,578","1,482","1,398","1,304","1,159","1,063","1,111",879
Health & Family Welfare,"1,106",996,826,622,594,561,425,443,418,296
Water Supply and Sanitation,104,90,100,70,52,63,55,52,63,59
Housing & Urban Development,220,77,196,189,83,100,53,59,53,44
Social Welfare & Nutrition,647,453,339,281,273,290,238,205,188,170
Welfare of SCs/STs/OBCs/Minorities,132,129,168,142,170,167,80,108,158,132
Agriculture & Allied Activities,447,455,566,432,461,394,336,359,457,333
Rural Development,"1,555","1,342","1,998","1,101",966,988,811,697,540,156
Irrigation & Flood Control,67,60,71,65,66,90,91,75,95,79
Energy,318,427,410,405,543,566,750,625,453,325
Industry & Minerals,71,68,80,70,83,80,71,85,78,94
Transport,88,79,75,72,113,99,111,99,132,124
Ecology & Environment,12,34,31,24,31,30,15,14,13,12
Tourism,40,7,5,21,21,17,20,12,9,6
Civil Supplies,45,43,48,47,88,77,21,15,13,15
Grants in Aid (Compensation & Assignments to Local Bodies and PRIs),359,552,623,555,573,534,364,348,476,335
Others,"4,656","4,010","3,414","3,077","2,827","2,637","2,366","2,062","2,009","1,749"
Meghalaya (Total),"14,864","13,620","11,499","9,565","10,256","8,423","8,337","6,348","6,252","5,552"
Police,"1,052",991,926,864,820,649,578,535,488,406
Public Works,247,225,225,217,215,182,166,158,154,146
"Education, Sports, Art and Culture","2,912","2,352","2,016","2,020","2,105","1,735","1,608","1,283","1,297","1,109"
Health & Family Welfare,"1,455","1,601","1,165",816,"1,023",668,604,513,483,354
Water Supply and Sanitation,355,381,309,287,255,212,186,179,167,158
Housing & Urban Development,314,209,178,77,91,65,72,114,50,69
Social Welfare & Nutrition,332,401,431,318,437,300,280,199,238,217
Welfare of SCs/STs/OBCs/Minorities,86,110,71,100,93,82,263,1,51,6
Agriculture & Allied Activities,888,869,752,521,676,573,565,584,590,594
Rural Development,"1,174",876,"1,037",848,781,"1,068","1,333",538,570,352
Irrigation & Flood Control,71,87,79,43,59,49,42,39,37,36
Energy,293,685,120,24,167,114,128,67,166,155
Industry & Minerals,253,294,190,145,199,231,148,148,194,210
Transport,387,387,305,258,189,173,186,149,121,146
Ecology & Environment,-   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Tourism,24,66,21,16,12,14,17,20,16,24
Civil Supplies,58,32,85,15,68,52,58,26,19,18
Grants in Aid (Compensation & Assignments to Local Bodies and PRIs),-   , -   ,4,4,11,6,12,9,6,21
Others,"4,962","4,053","3,585","2,991","3,055","2,250","2,090","1,786","1,603","1,531"
Mizoram  (Total),"10,092","8,557","8,515","9,454","7,506","6,881","6,230","5,571","5,652","4,917"
Police,695,628,631,642,620,486,485,448,413,399
Public Works,61,61,62,68,55,51,49,42,62,48
"Education, Sports, Art and Culture","1,703","1,517","1,508","1,619","1,398","1,257","1,162","1,128","1,142",936
Health & Family Welfare,600,629,550,552,491,469,371,367,328,248
Water Supply and Sanitation,400,250,214,236,212,214,190,155,159,137
Housing & Urban Development,144,244,193,247,216,113,95,88,96,79
Social Welfare & Nutrition,216,162,176,185,157,151,145,146,103,144
