Components,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14
Grants in Aid - CSS,"1,992","2,184","2,008","1,823","1,440","2,224","1,661","1,204","1,428",445
Grants in Aid - Others,"4,766","4,787","4,745","5,036","5,104","4,415","3,893","3,616","4,501","4,501"
"Non Tax Rev - Int, Div, Profit",10,6,7,9,13,7,7,10,7,8
Non Tax Rev - Others,469,298,236,331,243,382,339,246,263,209
Odisha  (Total),"150,462","153,059","104,387","101,568","99,546","85,204","74,299","68,941","56,998","48,947"
States' Own Tax,"46,554","40,748","34,258","32,315","30,318","27,914","22,852","22,527","19,828","16,892"
Share in Union Taxes,"42,989","38,145","27,543","30,453","35,354","31,272","28,322","23,574","16,181","15,247"
Grants in Aid - CSS,"11,741","11,820","12,698","13,056","13,025","12,900",0,0,0,"2,149"
Grants in Aid - Others,"6,458","8,090","10,371","11,096","6,573","4,720","15,082","14,129","12,917","6,280"
"Non Tax Rev - Int, Div, Profit","2,241","2,347","2,325","1,808","2,006",667,993,"1,114","1,407","1,694"
Non Tax Rev - Others,"40,479","51,910","17,193","12,839","12,270","7,732","7,050","7,597","6,664","6,685"
Punjab  (Total),"87,616","78,168","69,048","61,575","62,269","53,010","47,985","41,523","39,023","35,104"
States' Own Tax,"42,243","37,327","30,053","29,995","31,574","30,423","27,747","26,690","25,570","24,079"
Share in Union Taxes,"17,164","15,289","10,638","10,346","12,005","10,617","9,600","8,009","4,703","4,431"
Grants in Aid - CSS,"3,729","3,674","2,880","2,795","3,017","3,096",564,237,188,"1,271"
Grants in Aid - Others,"18,247","17,095","21,325","11,785","8,090","4,556","4,212","3,937","5,682","2,130"
"Non Tax Rev - Int, Div, Profit",246,188,146,"2,110","1,460","1,409","1,298",227,195,176
Non Tax Rev - Others,"5,986","4,596","4,006","4,544","6,123","2,909","4,566","2,424","2,684","3,015"
Rajasthan  (Total),"194,988","183,920","134,308","140,114","137,873","127,307","109,026","100,285","91,327","74,470"
States' Own Tax,"87,346","74,808","60,283","59,245","57,380","50,605","44,372","42,713","38,673","33,478"
Share in Union Taxes,"57,231","54,031","35,576","36,049","41,852","37,028","33,556","27,916","19,817","18,673"
Grants in Aid - CSS,"14,554","14,965","12,595","14,966","13,317","16,103",-15,0,0,"2,066"
Grants in Aid - Others,"15,292","21,361","12,200","14,139","6,720","7,837","19,498","18,728","19,608","6,679"
"Non Tax Rev - Int, Div, Profit","2,059","1,716","2,696","3,906","5,847","4,926","2,001","2,080","2,129","2,167"
Non Tax Rev - Others,"18,505","17,039","10,957","11,808","12,756","10,808","9,614","8,848","11,101","11,408"
Sikkim  (Total),"8,104","7,081","5,608","4,841","5,920","5,213","4,610","3,784","4,462","4,326"
States' Own Tax,"1,497","1,254",967,970,893,688,653,567,528,525
Share in Union Taxes,"3,865","3,288","2,302","2,296","2,795","2,635","2,069","1,870",809,763
Grants in Aid - CSS,"1,118",749,879,609,"1,152",959,659,509,578,233
Grants in Aid - Others,647,"1,109",798,273,423,277,778,425,"1,849","2,011"
"Non Tax Rev - Int, Div, Profit",70,51,130,147,130,118,80,85,67,68
Non Tax Rev - Others,906,629,533,546,528,537,371,328,631,727
Tamil Nadu  (Total),"243,749","207,492","174,076","174,526","173,741","146,280","140,231","129,008","122,420","108,036"
States' Own Tax,"150,223","122,866","106,153","107,462","105,534","93,737","85,941","80,476","78,657","73,718"
Share in Union Taxes,"38,731","37,459","24,925","26,392","30,639","27,100","24,538","20,354","16,824","15,853"
Grants in Aid - CSS,"15,270","17,251","12,484","12,464","14,819","10,983","2,035",717,974,"2,315"
Grants in Aid - Others,"22,465","17,800","20,093","15,320","8,549","3,696","17,803","18,543","17,615","6,807"
"Non Tax Rev - Int, Div, Profit","5,048","4,190","3,729","4,548","7,031","5,357","4,504","3,094","2,589","3,423"
Non Tax Rev - Others,"12,013","7,927","6,692","8,340","7,169","5,407","5,410","5,825","5,762","5,921"
Telangana  (Total),"159,350","127,469","100,914","102,544","101,420","88,824","82,818","76,134","51,042",0
States' Own Tax,"106,949","91,271","66,650","67,597","64,674","56,520","48,408","39,975","29,288",0
Share in Union Taxes,"19,668","18,721","12,692","15,988","18,561","16,420","14,877","12,351","8,189",0
Grants in Aid - CSS,"5,387","4,461","5,805","5,729","5,507","6,108","6,664","5,807","4,636",0
Grants in Aid - Others,"7,792","4,158","9,666","5,870","2,670","1,951","3,088","3,587","2,482",0
"Non Tax Rev - Int, Div, Profit",346,72,127,132,153,217,"1,861","2,947","2,900",0
Non Tax Rev - Others,"19,208","8,785","5,974","7,228","9,854","7,609","7,921","11,468","3,547",0
Tripura  (Total),"18,309","17,614","13,292","11,002","12,031","10,068","9,645","9,427","9,240","7,650"
States' Own Tax,"3,000","2,616","2,332","2,102","1,766","1,422","1,422","1,332","1,174","1,074"
Share in Union Taxes,"6,724","6,078","4,218","4,212","4,889","4,322","3,909","3,266","1,730","1,630"
Grants in Aid - CSS,"3,475","3,312","2,331","2,254","1,861","1,988",137,36,235,424
Grants in Aid - Others,"4,707","5,334","4,125","2,162","3,143","1,842","3,959","4,530","5,904","4,275"
"Non Tax Rev - Int, Div, Profit",35,26,25,27,148,292,37,69,47,86
Non Tax Rev - Others,368,248,261,244,224,202,182,194,149,160
Uttar Pradesh  (Total),"417,242","371,011","296,176","366,393","329,978","278,775","256,875","227,076","193,422","168,214"
States' Own Tax,"174,087","147,368","119,897","122,826","120,122","97,393","85,966","81,106","74,172","66,582"
Share in Union Taxes,"169,745","160,358","106,687","117,818","136,766","120,939","109,428","90,974","66,623","62,777"
Grants in Aid - CSS,"35,575","31,227","32,342","25,824","31,250","27,731","22,914","21,638","19,289","7,650"
Grants in Aid - Others,"24,345","20,623","25,404","18,220","11,739","12,918","9,623","10,223","13,402","14,755"
"Non Tax Rev - Int, Div, Profit","1,401","1,462","1,220","1,508","1,888","1,124","1,251",675,"2,311","1,625"
Non Tax Rev - Others,"12,089","9,974","10,626","80,197","28,213","18,671","27,693","22,459","17,624","14,825"
Uttarakhand  (Total),"49,083","43,057","38,204","30,723","31,216","27,105","24,889","21,234","20,247","17,321"
States' Own Tax,"17,103","14,176","11,938","11,513","12,188","10,165","10,897","9,378","8,338","7,355"
Share in Union Taxes,"10,617","9,906","6,569","6,902","8,012","7,085","6,412","5,333","3,792","3,573"
Grants in Aid - CSS,"5,968","5,218","6,166","4,477","4,966","4,391","3,035","2,479","1,879",523
Grants in Aid - Others,"11,028","11,000","9,361","3,832","2,741","3,694","3,199","2,825","5,126","4,552"
"Non Tax Rev - Int, Div, Profit",784,439,139,62,74,108,87,94,108,51
Non Tax Rev - Others,"3,582","2,317","4,032","3,937","3,235","1,661","1,259","1,125","1,002","1,265"
West Bengal  (Total),"195,544","178,159","148,394","142,914","145,975","131,270","117,832","109,732","86,514","72,882"
States' Own Tax,"83,609","71,082","60,287","60,669","60,732","52,721","45,466","42,492","39,412","35,831"
Share in Union Taxes,"71,435","65,541","44,737","48,048","55,776","49,321","44,625","37,164","24,595","23,175"
Grants in Aid - CSS,"9,858","11,077","17,604","16,963","15,686","15,734",0,0,-6,"3,727"
Grants in Aid - Others,"28,446","28,770","20,567","14,021","10,124","10,377","24,791","28,214","20,887","8,127"
"Non Tax Rev - Int, Div, Profit",483,464,"2,826",403,853,"1,432","1,202",347,283,995
Non Tax Rev - Others,"1,714","1,227","2,373","2,810","2,804","1,685","1,748","1,515","1,344","1,028"
Total,"3,513,095","3,105,884","2,483,672","2,563,556","2,518,110","2,228,060","2,004,422","1,797,104","1,562,700","1,342,059"
States' Own Tax,"1,698,675","1,417,820","1,131,782","1,175,497","1,151,127","1,014,736","905,117","839,817","772,894","706,146"
Share in Union Taxes,"948,590","882,838","594,982","643,763","747,465","661,272","598,348","498,380","333,408","314,131"
Grants in Aid - CSS,"274,365","250,511","243,308","232,349","214,257","210,071","69,793","58,927","59,499","45,896"
Grants in Aid - Others,"317,464","315,650","344,438","258,050","194,483","168,845","265,699","250,241","255,156","146,213"
"Non Tax Rev - Int, Div, Profit","27,373","22,735","26,126","27,911","33,687","29,880","26,556","19,745","26,120","28,821"
Non Tax Rev - Others,"246,627","216,331","143,037","225,986","177,092","143,256","138,909","129,996","115,623","100,852"
